Method,Reduction,Win% Syn,Win% Real,Avg% Syn,Avg% Real
PCA,k-1,25.0,20.0,0.01,1.42
PCA,25%,25.0,20.0,-5.58,-0.16
PCA,50%,0.0,20.0,-1.52,2.30
Kernel PCA,k-1,25.0,50.0,3.02,14.98
Kernel PCA,25%,25.0,45.0,-2.28,7.75
Kernel PCA,50%,25.0,50.0,2.14,9.93
VAE,k-1,0.0,30.0,-22.88,-9.03
VAE,25%,0.0,15.0,-32.34,-28.06
VAE,50%,0.0,20.0,-21.24,-28.77
Isomap,k-1,75.0,55.0,3.88,14.44
Isomap,25%,25.0,50.0,-1.88,10.83
Isomap,50%,75.0,60.0,6.44,14.01
MDS,k-1,25.0,35.0,2.84,-2.04
MDS,25%,25.0,30.0,-8.77,-2.92
MDS,50%,25.0,30.0,-0.95,-0.72
