Table 2: Aggregate statistics for k-means
Win% = percentage of datasets where DR improves over No Reduction
Avg% = average relative ARI change vs No Reduction
================================================================================
Method          Reduction     Win% Syn   Win% Real      Avg% Syn     Avg% Real
--------------------------------------------------------------------------------
PCA             k-1               20.4        20.0         -0.31          1.42
PCA             25%               14.8        20.0         -7.39         -0.16
PCA             50%                9.3        20.0         -2.32          2.30
Kernel PCA      k-1               29.6        50.0          5.04         14.98
Kernel PCA      25%               29.6        45.0         -0.06          7.75
Kernel PCA      50%               29.6        50.0          5.14          9.93
VAE             k-1               18.5        30.0        -15.65         -9.03
VAE             25%               14.8        15.0         12.55        -28.06
VAE             50%               16.7        20.0        -15.49        -28.77
Isomap          k-1               35.4        55.0        285.60         14.44
Isomap          25%               29.2        50.0        272.23         10.83
Isomap          50%               35.4        60.0        277.19         14.01
MDS             k-1               15.6        35.0         -0.69         -2.04
MDS             25%               18.8        30.0         -8.34         -2.92
MDS             50%               12.5        30.0         -2.76         -0.72
