Method,Reduction,Win% Syn,Win% Real,Avg% Syn,Avg% Real
PCA,k-1,24.1,20.0,19.96,-13.04
PCA,25%,27.8,20.0,-0.33,-14.24
PCA,50%,20.4,20.0,-5.51,-11.61
Kernel PCA,k-1,24.1,25.0,7.66,-16.54
Kernel PCA,25%,20.4,35.0,15.02,-13.65
Kernel PCA,50%,22.2,30.0,27.70,-11.94
VAE,k-1,18.5,15.0,-16.60,-41.16
VAE,25%,13.0,0.0,-22.92,-69.53
VAE,50%,16.7,5.0,16.96,-42.02
Isomap,k-1,25.0,10.0,597.53,-17.10
Isomap,25%,25.0,25.0,664.82,-16.94
Isomap,50%,25.0,20.0,452.76,-17.03
MDS,k-1,15.6,15.0,-1.07,-14.67
MDS,25%,15.6,20.0,0.21,-17.74
MDS,50%,34.4,15.0,28.59,-9.76
