Aggregate statistics for AHC
Method          Reduction    Win% Syn  Win% Real   Avg% Syn  Avg% Real
----------------------------------------------------------------------
PCA             k-1             20.00      20.00     -10.50     -13.04
PCA             25%             17.50      20.00      -7.63     -14.24
PCA             50%             17.50      20.00     -18.49     -11.61
Kernel PCA      k-1             22.50      25.00      -6.17     -16.54
Kernel PCA      25%             25.00      35.00      -6.99     -13.65
Kernel PCA      50%             12.50      30.00     -17.24     -11.94
VAE             k-1             10.00      15.00     -24.37     -41.16
VAE             25%             17.50       0.00     -17.69     -69.53
VAE             50%              7.50       5.00     -49.06     -42.02
Isomap          k-1             22.50      10.00     -23.30     -17.10
Isomap          25%             15.00      25.00     -22.53     -16.94
Isomap          50%              5.00      20.00     -28.90     -17.03
MDS             k-1              0.00      15.00     -42.36     -14.67
MDS             25%              7.50      20.00     -25.45     -17.74
MDS             50%             10.00      15.00     -38.84      -9.76
