Method,Reduction,Win% Synthetic,Win% Real,Avg% Synthetic,Avg% Real
PCA,k-1,5.00,20.00,-22.63,-20.54
PCA,25%,7.50,15.00,-19.89,-21.52
PCA,50%,7.50,20.00,-15.49,-17.34
Kernel PCA,k-1,5.00,20.00,-18.59,-19.11
Kernel PCA,25%,5.00,20.00,-3.83,-26.89
Kernel PCA,50%,5.00,30.00,-19.96,-21.53
VAE,k-1,10.00,5.00,-23.49,-36.50
VAE,25%,12.50,10.00,14.88,-45.39
VAE,50%,0.00,10.00,-24.00,-48.20
Isomap,k-1,5.00,10.00,-18.14,-16.90
Isomap,25%,5.00,15.00,-17.91,-25.33
Isomap,50%,5.00,15.00,-24.28,-15.26
MDS,k-1,5.00,15.00,-38.54,-22.82
MDS,25%,5.00,0.00,-29.54,-32.63
MDS,50%,5.00,5.00,-34.48,-24.54
