Method,Reduction,Win% Syn,Win% Real,Avg% Syn,Avg% Real
PCA,k-1,38.9,10.0,363.53,-64.33
PCA,25%,33.3,20.0,18.29,-65.35
PCA,50%,20.4,20.0,-3.04,-70.07
Kernel PCA,k-1,29.6,20.0,314.02,-26.55
Kernel PCA,25%,38.9,50.0,290.32,3.72
Kernel PCA,50%,44.4,35.0,181.80,-10.81
VAE,k-1,25.9,5.0,280.67,-83.82
VAE,25%,33.3,5.0,211.51,-78.48
VAE,50%,29.6,5.0,91.21,-80.34
Isomap,k-1,50.0,10.0,108.97,-60.41
Isomap,25%,47.9,10.0,91.27,-52.86
Isomap,50%,45.8,5.0,81.09,-75.49
MDS,k-1,46.9,10.0,263.50,-51.56
MDS,25%,37.5,5.0,21.65,-62.14
MDS,50%,34.4,20.0,12.44,-35.89
