Table 5: Aggregate statistics for OPTICS
==========================================================================
Method          Reduction     Win% Syn   Win% Real    Avg% Syn   Avg% Real
--------------------------------------------------------------------------
PCA             k-1               50.0        10.0      324.04      -64.33
PCA             25%               50.0        20.0       10.88      -65.35
PCA             50%               25.0        20.0       -4.45      -70.07
Kernel PCA      k-1               50.0        20.0       80.68      -26.55
Kernel PCA      25%               50.0        50.0      252.55        3.72
Kernel PCA      50%               50.0        35.0       91.40      -10.81
VAE             k-1               50.0         5.0      110.13      -83.82
VAE             25%               50.0         5.0      187.77      -78.48
VAE             50%               25.0         5.0       92.05      -80.34
Isomap          k-1               50.0        10.0       21.89      -60.41
Isomap          25%               50.0        10.0       28.25      -52.86
Isomap          50%               50.0         5.0       31.98      -75.49
MDS             k-1               50.0        10.0       44.38      -51.56
MDS             25%               50.0         5.0       12.72      -62.14
MDS             50%               50.0        20.0        7.21      -35.89
