Dataset,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Breast Wisconsin,0.78,0.56,0.77,0.78,0.62,0.67,0.66,0.38,0.59,0.55,0.53,0.82,0.82,0.63,0.79,0.74
Breast tissue,0.39,0.31,0.32,0.26,0.31,0.47,0.44,0.09,0.12,0.21,0.39,0.40,0.42,0.37,0.36,0.31
Ecoli,0.76,0.76,0.53,0.62,0.76,0.50,0.49,0.76,0.13,0.16,0.76,0.59,0.41,0.76,0.62,0.66
Glass,0.21,0.19,0.24,0.26,0.18,0.16,0.17,0.22,0.10,0.14,0.18,0.11,0.17,0.21,0.17,0.20
Haberman,0.11,0.07,0.07,0.07,-0.00,-0.00,-0.00,0.01,-0.01,0.08,0.10,0.10,0.10,0.02,0.02,0.02
Ionosphere,0.18,0.10,0.14,0.18,0.22,0.20,0.19,0.16,0.04,0.00,0.09,0.15,0.14,0.17,0.20,0.21
Iris,0.72,0.56,0.56,0.56,0.62,0.62,0.62,0.50,0.56,0.51,0.71,0.71,0.71,0.56,0.56,0.56
Movement libras,0.33,0.33,0.33,0.33,0.35,0.34,0.32,0.11,0.07,0.16,0.34,0.35,0.36,0.33,0.34,0.31
Musk,0.01,0.01,0.01,0.01,0.00,0.01,0.01,-0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.01
Parkinsons,0.15,0.13,0.14,0.15,0.16,0.18,0.13,-0.05,-0.03,0.07,0.15,0.14,0.15,0.18,0.14,0.13
Segmentation,0.48,0.45,0.45,0.40,0.47,0.49,0.54,0.49,0.45,0.47,0.36,0.36,0.39,0.46,0.46,0.48
Sonar all,0.05,-0.00,-0.00,-0.00,0.01,0.02,0.02,-0.00,-0.00,0.08,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Spectf,0.00,0.02,-0.08,-0.01,-0.03,-0.09,-0.09,0.01,-0.02,-0.10,-0.01,-0.07,-0.02,0.01,-0.10,-0.07
Transfusion,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.03,-0.06,0.01,0.03,0.03,0.03,0.07,0.07,0.07
Vehicle,0.11,0.09,0.09,0.10,0.09,0.09,0.08,0.05,0.08,0.09,0.14,0.13,0.11,0.09,0.10,0.10
Vertebral column,0.35,0.37,0.37,0.39,0.23,0.23,0.25,0.31,0.27,0.07,0.35,0.35,0.36,0.20,0.20,0.33
Vowel context,0.15,0.15,0.14,0.18,0.15,0.11,0.21,0.15,0.06,0.13,0.15,0.12,0.14,0.15,0.12,0.14
Wine,0.79,0.90,0.85,0.85,0.85,0.81,0.88,0.23,0.13,0.20,0.61,0.78,0.79,0.67,0.76,0.80
Wine quality red,0.06,0.07,0.07,0.05,0.04,0.06,0.04,0.04,0.05,0.04,0.05,0.08,0.05,0.04,0.05,0.04
Yeast,0.17,0.17,0.08,0.10,0.17,0.06,0.12,0.17,0.11,0.08,0.17,0.09,0.13,0.17,0.10,0.14
Mean,0.29,0.26,0.26,0.27,0.26,0.25,0.26,0.18,0.13,0.15,0.26,0.26,0.26,0.25,0.25,0.26
