Dataset,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Breast tissue,0.35,0.37,0.34,0.34,0.30,0.31,0.29,0.12,0.17,0.21,0.32,0.25,0.40,0.34,0.34,0.31
Breast Wisconsin,0.77,0.65,0.47,0.47,0.65,0.67,0.71,0.33,0.68,0.24,0.68,0.45,0.53,0.60,0.33,0.13
Ecoli,0.65,0.65,0.47,0.51,0.65,0.30,0.39,0.65,0.21,0.22,0.65,0.46,0.49,0.65,0.44,0.62
Glass,0.25,0.20,0.21,0.22,0.19,0.16,0.14,0.24,0.08,0.16,0.19,0.15,0.18,0.21,0.16,0.19
Haberman,0.10,0.04,0.04,0.04,0.00,0.00,0.00,0.01,0.01,0.04,-0.04,-0.04,-0.04,0.07,0.07,0.07
Ionosphere,0.39,0.14,0.28,0.30,0.20,-0.01,0.19,0.20,0.20,0.00,0.12,0.09,0.20,0.14,0.25,0.35
Iris,0.56,0.63,0.63,0.63,0.62,0.62,0.62,0.44,0.63,0.54,0.45,0.45,0.45,0.49,0.49,0.49
Movement libras,0.36,0.42,0.46,0.38,0.34,0.31,0.32,0.24,0.29,0.26,0.33,0.34,0.30,0.40,0.33,0.38
Musk,0.00,0.01,0.00,0.00,0.02,-0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.02,0.00,0.00
Parkinsons,0.12,-0.06,-0.02,-0.05,0.16,0.25,0.23,-0.09,-0.07,-0.10,0.17,0.15,0.27,-0.09,-0.09,-0.09
Segmentation,0.49,0.49,0.48,0.56,0.49,0.49,0.52,0.46,0.42,0.45,0.39,0.39,0.44,0.47,0.46,0.48
Sonar all,0.00,-0.00,0.01,0.00,0.00,0.02,0.02,-0.00,-0.00,0.07,-0.00,-0.00,-0.00,0.02,0.00,0.00
Spectf,-0.10,-0.10,-0.10,-0.10,-0.10,-0.08,-0.10,-0.03,-0.06,-0.10,-0.10,-0.09,-0.08,-0.10,-0.10,-0.10
Transfusion,0.05,0.03,0.03,0.03,-0.03,-0.03,-0.03,-0.02,-0.01,0.01,0.03,0.03,0.03,0.03,0.03,0.03
Vehicle,0.09,0.07,0.07,0.09,0.09,0.07,0.10,0.07,0.08,0.10,0.12,0.11,0.09,0.08,0.07,0.08
Vertebral column,0.41,0.24,0.24,0.27,0.25,0.25,0.23,0.28,0.32,-0.03,0.25,0.25,0.25,0.22,0.22,0.24
Vowel context,0.18,0.18,0.16,0.17,0.18,0.11,0.18,0.18,0.07,0.13,0.18,0.13,0.15,0.18,0.16,0.17
Wine,0.91,0.91,0.90,0.91,0.92,0.90,0.93,0.16,0.20,0.12,0.82,0.83,0.82,0.58,0.82,0.86
Wine quality red,0.09,0.06,0.07,0.08,0.07,0.07,0.04,0.07,0.05,0.06,0.07,0.08,0.07,0.08,0.05,0.07
Yeast,0.17,0.17,0.10,0.19,0.17,0.06,0.13,0.17,0.01,0.08,0.17,0.11,0.14,0.17,0.03,0.14
