Clustering,DR Method,Level,N,W Statistic,p-value,Significant (p<0.05)
k-means,PCA,k-1,20,9.0,0.4688,No
k-means,PCA,25%,20,16.5,0.8750,No
k-means,PCA,50%,20,12.0,0.8125,No
k-means,Kernel PCA,k-1,20,16.5,0.0238,Yes
k-means,Kernel PCA,25%,20,66.5,0.6358,No
k-means,Kernel PCA,50%,20,56.5,0.3437,No
k-means,VAE,k-1,20,32.0,0.2166,No
k-means,VAE,25%,20,15.5,0.0039,Yes
k-means,VAE,50%,20,23.0,0.0065,Yes
k-means,Isomap,k-1,20,42.0,0.3055,No
k-means,Isomap,25%,20,76.0,0.9811,No
k-means,Isomap,50%,20,57.5,0.3675,No
k-means,MDS,k-1,20,36.5,0.8647,No
k-means,MDS,25%,20,30.5,0.5308,No
k-means,MDS,50%,20,36.0,0.8350,No
AHC,PCA,k-1,20,23.0,0.0640,No
AHC,PCA,25%,20,29.5,0.0260,Yes
AHC,PCA,50%,20,27.0,0.1093,No
AHC,Kernel PCA,k-1,20,36.0,0.0551,No
AHC,Kernel PCA,25%,20,35.5,0.0294,Yes
AHC,Kernel PCA,50%,20,51.5,0.0800,No
AHC,VAE,k-1,20,8.5,0.0021,Yes
AHC,VAE,25%,20,0.0,0.0001,Yes
AHC,VAE,50%,20,7.5,0.0003,Yes
AHC,Isomap,k-1,20,13.5,0.0220,Yes
AHC,Isomap,25%,20,41.0,0.0525,No
AHC,Isomap,50%,20,32.5,0.0662,No
AHC,MDS,k-1,20,19.5,0.0214,Yes
AHC,MDS,25%,20,32.0,0.0064,Yes
AHC,MDS,50%,20,24.5,0.0079,Yes
GMM,PCA,k-1,20,21.0,0.0942,No
GMM,PCA,25%,20,26.0,0.0095,Yes
GMM,PCA,50%,20,29.0,0.0833,No
GMM,Kernel PCA,k-1,20,17.0,0.0479,Yes
GMM,Kernel PCA,25%,20,32.0,0.0198,Yes
GMM,Kernel PCA,50%,20,32.0,0.0348,Yes
GMM,VAE,k-1,20,5.5,0.0020,Yes
GMM,VAE,25%,20,8.0,0.0007,Yes
GMM,VAE,50%,20,9.0,0.0003,Yes
GMM,Isomap,k-1,20,11.0,0.0092,Yes
GMM,Isomap,25%,20,12.5,0.0015,Yes
GMM,Isomap,50%,20,22.5,0.0106,Yes
GMM,MDS,k-1,20,19.0,0.0113,Yes
GMM,MDS,25%,20,0.0,0.0003,Yes
GMM,MDS,50%,20,6.0,0.0008,Yes
OPTICS,PCA,k-1,20,10.0,0.0076,Yes
OPTICS,PCA,25%,20,24.0,0.0074,Yes
OPTICS,PCA,50%,20,21.0,0.0150,Yes
OPTICS,Kernel PCA,k-1,20,30.5,0.0523,No
OPTICS,Kernel PCA,25%,20,80.5,0.5594,No
OPTICS,Kernel PCA,50%,20,50.0,0.2095,No
OPTICS,VAE,k-1,20,6.0,0.0013,Yes
OPTICS,VAE,25%,20,7.0,0.0004,Yes
OPTICS,VAE,50%,20,2.5,0.0001,Yes
OPTICS,Isomap,k-1,20,12.0,0.0038,Yes
OPTICS,Isomap,25%,20,12.0,0.0023,Yes
OPTICS,Isomap,50%,20,6.5,0.0006,Yes
OPTICS,MDS,k-1,20,5.5,0.0054,Yes
OPTICS,MDS,25%,20,4.5,0.0007,Yes
OPTICS,MDS,50%,20,36.5,0.1817,No
